CMDLINE /Users/bear/Documents/GitHub/pyoniverse/pyoniverse-search-engine/venv/bin/python profiles/memory/search.py
MEM 0.203125 1700466705.8591
MEM 32.546875 1700466705.9643
MEM 50.781250 1700466706.0694
MEM 83.343750 1700466706.1745
MEM 107.546875 1700466706.2781
MEM 122.843750 1700466706.3812
MEM 136.390625 1700466706.4858
MEM 137.468750 1700466706.5910
MEM 153.078125 1700466706.6961
MEM 162.140625 1700466706.7975
MEM 177.703125 1700466706.9024
MEM 185.671875 1700466707.0075
MEM 193.875000 1700466707.1126
MEM 201.359375 1700466707.2177
MEM 209.546875 1700466707.3228
MEM 216.562500 1700466707.4280
MEM 225.609375 1700466707.5334
MEM 228.515625 1700466707.6386
MEM 241.125000 1700466707.7397
MEM 256.281250 1700466707.8448
MEM 263.265625 1700466707.9472
MEM 273.562500 1700466708.0523
MEM 278.625000 1700466708.1574
MEM 285.281250 1700466708.2625
MEM 292.281250 1700466708.3676
MEM 304.875000 1700466708.4680
MEM 308.546875 1700466708.5732
MEM 310.968750 1700466708.6734
MEM 312.046875 1700466708.7786
MEM 308.265625 1700466708.8837
MEM 308.265625 1700466708.9890
MEM 308.515625 1700466709.0934
MEM 310.062500 1700466709.1985
MEM 311.375000 1700466709.3036
MEM 405.343750 1700466709.4057
MEM 508.203125 1700466709.5063
MEM 558.484375 1700466709.6084
MEM 604.812500 1700466709.7135
MEM 574.828125 1700466709.8186
MEM 603.796875 1700466709.9237
MEM 565.671875 1700466710.0291
MEM 662.921875 1700466710.1331
MEM 673.015625 1700466710.2382
MEM 826.812500 1700466710.3436
MEM 1007.875000 1700466710.4490
MEM 1154.234375 1700466710.5541
MEM 976.390625 1700466710.6593
MEM 976.390625 1700466710.7644
MEM 977.093750 1700466710.8696
MEM 1042.187500 1700466710.9748
MEM 1219.312500 1700466711.0800
MEM 1304.281250 1700466711.1806
MEM 1229.156250 1700466711.2810
MEM 1089.281250 1700466711.3814
MEM 1008.656250 1700466711.4868
MEM 1058.593750 1700466711.5919
MEM 1064.546875 1700466711.6951
MEM 1114.640625 1700466711.8002
MEM 999.031250 1700466711.9053
MEM 1010.109375 1700466712.0104
MEM 895.078125 1700466712.1140
MEM 986.421875 1700466712.2179
MEM 947.078125 1700466712.3202
MEM 1022.640625 1700466712.4254
MEM 1024.703125 1700466712.5306
MEM 1050.093750 1700466712.6358
MEM 907.515625 1700466712.7363
MEM 985.500000 1700466712.8415
MEM 1005.109375 1700466712.9466
MEM 972.078125 1700466713.0517
MEM 999.468750 1700466713.1568
MEM 953.781250 1700466713.2593
MEM 970.718750 1700466713.3645
MEM 1040.578125 1700466713.4699
MEM 1025.859375 1700466713.5717
MEM 1073.453125 1700466713.6769
MEM 1072.234375 1700466713.7820
MEM 1013.593750 1700466713.8835
MEM 1036.203125 1700466713.9845
MEM 1002.906250 1700466714.0896
MEM 974.250000 1700466714.1947
MEM 1005.421875 1700466714.2998
MEM 1011.250000 1700466714.4049
MEM 974.062500 1700466714.5101
MEM 1047.312500 1700466714.6152
MEM 1049.781250 1700466714.7196
MEM 1129.531250 1700466714.8247
MEM 1165.703125 1700466714.9277
MEM 1134.843750 1700466715.0335
MEM 1191.703125 1700466715.1387
MEM 1136.953125 1700466715.2424
MEM 1019.375000 1700466715.3435
MEM 1156.906250 1700466715.4470
MEM 1305.046875 1700466715.5521
MEM 1449.812500 1700466715.6573
MEM 1593.562500 1700466715.7624
MEM 1746.250000 1700466715.8640
MEM 1797.640625 1700466715.9691
MEM 1780.343750 1700466716.0742
MEM 1773.453125 1700466716.1793
MEM 1580.171875 1700466716.2804
MEM 1298.218750 1700466716.3806
MEM 1105.984375 1700466716.4863
MEM 1076.375000 1700466716.5915
MEM 1038.265625 1700466716.6969
MEM 20.765625 1700466716.7974
MEM 343.234375 1700466716.9026
MEM 601.656250 1700466717.0078
MEM 751.375000 1700466717.1098
MEM 571.281250 1700466717.2111
MEM 597.687500 1700466717.3220
MEM 639.953125 1700466717.4240
MEM 604.046875 1700466717.5245
MEM 557.500000 1700466717.6264
MEM 540.781250 1700466717.7268
MEM 512.812500 1700466717.8290
MEM 389.343750 1700466717.9298
MEM 354.750000 1700466718.0349
MEM 356.390625 1700466718.1397
MEM 369.140625 1700466718.2421
MEM 314.109375 1700466718.3476
MEM 313.265625 1700466718.4483
MEM 274.687500 1700466718.5515
MEM 288.328125 1700466718.6567
MEM 303.375000 1700466718.7618
MEM 305.500000 1700466718.8651
MEM 305.250000 1700466718.9657
MEM 265.390625 1700466719.0716
MEM 291.078125 1700466719.1767
MEM 280.437500 1700466719.2819
MEM 309.187500 1700466719.3870
MEM 300.937500 1700466719.4921
MEM 390.015625 1700466719.5925
MEM 414.265625 1700466719.6976
MEM 347.234375 1700466719.8027
MEM 370.343750 1700466719.9049
MEM 351.875000 1700466720.0051
MEM 372.718750 1700466720.1103
MEM 386.218750 1700466720.2155
MEM 375.468750 1700466720.3158
MEM 385.531250 1700466720.4210
MEM 408.703125 1700466720.5261
MEM 407.265625 1700466720.6313
MEM 440.515625 1700466720.7364
MEM 472.953125 1700466720.8415
MEM 412.796875 1700466720.9466
MEM 389.359375 1700466721.0518
MEM 412.078125 1700466721.1570
MEM 453.328125 1700466721.2621
MEM 468.421875 1700466721.3654
MEM 491.296875 1700466721.4705
MEM 523.515625 1700466721.5757
MEM 558.015625 1700466721.6808
MEM 577.500000 1700466721.7878
MEM 620.015625 1700466721.8929
MEM 644.593750 1700466721.9980
MEM 679.281250 1700466722.1017
MEM 656.953125 1700466722.2019
MEM 608.734375 1700466722.3035
MEM 562.187500 1700466722.4087
MEM 441.859375 1700466722.5139
MEM 467.687500 1700466722.6190
MEM 448.062500 1700466722.7202
MEM 481.937500 1700466722.8204
MEM 433.171875 1700466722.9255
MEM 395.500000 1700466723.0311
MEM 398.453125 1700466723.1362
MEM 303.921875 1700466723.2414
MEM 268.750000 1700466723.3452
MEM 268.781250 1700466723.4503
MEM 173.125000 1700466723.5510
MEM 187.750000 1700466723.6561
MEM 201.187500 1700466723.7612
MEM 214.609375 1700466723.8664
MEM 182.156250 1700466723.9717
MEM 204.218750 1700466724.0768
MEM 215.015625 1700466724.1819
MEM 206.156250 1700466724.2870
MEM 195.796875 1700466724.3877
MEM 132.703125 1700466724.4928
MEM 133.390625 1700466724.5933
MEM 93.156250 1700466724.6937
MEM 59.515625 1700466724.7939
MEM 75.734375 1700466724.8992
MEM 219.312500 1700466725.0009
MEM 247.562500 1700466725.1062
MEM 259.156250 1700466725.2107
MEM 271.890625 1700466725.3158
MEM 278.593750 1700466725.4210
MEM 283.843750 1700466725.5280
MEM 285.765625 1700466725.6332
MEM 288.406250 1700466725.7383
MEM 319.156250 1700466725.8434
MEM 413.500000 1700466725.9486
MEM 478.281250 1700466726.0537
MEM 632.171875 1700466726.1588
MEM 705.437500 1700466726.2640
MEM 778.671875 1700466726.3691
MEM 848.640625 1700466726.4742
MEM 931.296875 1700466726.5793
MEM 1042.171875 1700466726.6844
MEM 1126.765625 1700466726.7847
MEM 1218.859375 1700466726.8858
MEM 1332.453125 1700466726.9910
MEM 1265.968750 1700466727.0965
MEM 976.328125 1700466727.2016
MEM 1031.046875 1700466727.3067
MEM 1069.156250 1700466727.4118
MEM 1125.093750 1700466727.5169
MEM 991.406250 1700466727.6221
MEM 1019.906250 1700466727.7269
MEM 1055.218750 1700466727.8320
MEM 1086.078125 1700466727.9371
MEM 1113.421875 1700466728.0423
MEM 1139.937500 1700466728.1474
MEM 1162.687500 1700466728.2525
MEM 1152.828125 1700466728.3576
MEM 1181.578125 1700466728.4628
MEM 1122.765625 1700466728.5679
MEM 1105.703125 1700466728.6708
MEM 1054.968750 1700466728.7715
MEM 978.828125 1700466728.8766
MEM 955.765625 1700466728.9806
MEM 967.796875 1700466729.0838
MEM 947.921875 1700466729.1889
MEM 955.859375 1700466729.2943
MEM 943.250000 1700466729.3954
MEM 890.812500 1700466729.4956
MEM 880.750000 1700466729.6008
MEM 885.718750 1700466729.7056
MEM 888.406250 1700466729.8071
MEM 901.750000 1700466729.9123
MEM 786.015625 1700466730.0130
MEM 789.812500 1700466730.1182
MEM 793.578125 1700466730.2233
MEM 795.703125 1700466730.3286
MEM 746.828125 1700466730.4337
MEM 753.468750 1700466730.5389
MEM 744.906250 1700466730.6441
MEM 747.984375 1700466730.7492
MEM 721.750000 1700466730.8543
MEM 723.718750 1700466730.9595
MEM 732.671875 1700466731.0646
MEM 733.578125 1700466731.1683
MEM 689.453125 1700466731.2734
MEM 706.250000 1700466731.3787
MEM 680.484375 1700466731.4806
MEM 683.968750 1700466731.5858
MEM 708.093750 1700466731.6904
MEM 702.953125 1700466731.7955
MEM 637.453125 1700466731.8995
MEM 642.515625 1700466732.0047
MEM 666.796875 1700466732.1098
MEM 595.390625 1700466732.2141
MEM 599.343750 1700466732.3193
MEM 608.671875 1700466732.4252
MEM 632.593750 1700466732.5303
MEM 552.437500 1700466732.6355
MEM 557.484375 1700466732.7407
MEM 570.593750 1700466732.8458
MEM 603.406250 1700466732.9475
MEM 604.875000 1700466733.0502
MEM 638.937500 1700466733.1504
MEM 684.390625 1700466733.2506
MEM 708.937500 1700466733.3515
MEM 820.015625 1700466733.4567
MEM 861.125000 1700466733.5619
MEM 896.531250 1700466733.6673
MEM 925.218750 1700466733.7725
MEM 38.640625 1700466733.8776
MEM 86.875000 1700466733.9827
MEM 151.921875 1700466734.0878
MEM 190.953125 1700466734.1929
MEM 329.562500 1700466734.2980
MEM 359.515625 1700466734.4018
MEM 384.828125 1700466734.5039
MEM 328.218750 1700466734.6090
MEM 273.296875 1700466734.7142
MEM 289.750000 1700466734.8192
MEM 247.828125 1700466734.9244
MEM 238.671875 1700466735.0262
MEM 195.437500 1700466735.1272
MEM 111.953125 1700466735.2274
MEM 89.203125 1700466735.3302
MEM 58.890625 1700466735.4326
MEM 68.500000 1700466735.5333
MEM 73.468750 1700466735.6386
MEM 52.093750 1700466735.7407
MEM 59.578125 1700466735.8438
MEM 43.703125 1700466735.9463
MEM 26.015625 1700466736.0494
MEM 26.875000 1700466736.1534
MEM 24.218750 1700466736.2545
MEM 28.984375 1700466736.3554
MEM 28.750000 1700466736.4589
MEM 39.875000 1700466736.5591
MEM 40.437500 1700466736.6645
MEM 50.859375 1700466736.7696
MEM 35.093750 1700466736.8731
MEM 30.421875 1700466736.9767
MEM 9.140625 1700466737.0856
MEM 30.421875 1700466737.1912
MEM 26.859375 1700466737.2968
MEM 7.234375 1700466737.3990
MEM 2.859375 1700466737.6894
MEM 3.250000 1700466737.8021
MEM 5.265625 1700466738.2609
