CMDLINE /Users/bear/Documents/GitHub/pyoniverse/pyoniverse-search-engine/venv/bin/python search.py
MEM 0.218750 1700466084.7106
MEM 31.078125 1700466084.8157
MEM 49.687500 1700466084.9209
MEM 81.265625 1700466085.0260
MEM 106.484375 1700466085.1311
MEM 122.656250 1700466085.2389
MEM 129.203125 1700466085.3440
MEM 137.125000 1700466085.4492
MEM 144.843750 1700466085.5495
MEM 157.703125 1700466085.6546
MEM 173.093750 1700466085.7597
MEM 185.625000 1700466085.8623
MEM 192.968750 1700466085.9674
MEM 196.046875 1700466086.0725
MEM 209.343750 1700466086.1776
MEM 214.328125 1700466086.2798
MEM 221.625000 1700466086.3850
MEM 227.937500 1700466086.4890
MEM 236.406250 1700466086.5941
MEM 253.656250 1700466086.6991
MEM 260.312500 1700466086.8042
MEM 268.718750 1700466086.9093
MEM 275.078125 1700466087.0144
MEM 280.703125 1700466087.1195
MEM 285.937500 1700466087.2246
MEM 286.171875 1700466087.3298
MEM 287.156250 1700466087.4349
CMDLINE /Users/bear/Documents/GitHub/pyoniverse/pyoniverse-search-engine/venv/bin/python search.py
MEM 0.203125 1700466125.5613
MEM 31.953125 1700466125.6664
CMDLINE /Users/bear/Documents/GitHub/pyoniverse/pyoniverse-search-engine/venv/bin/python profiles/memory/search.py
MEM 0.234375 1700466134.0140
MEM 30.859375 1700466134.1192
MEM 50.500000 1700466134.2243
MEM 83.562500 1700466134.3280
MEM 107.296875 1700466134.4331
MEM 122.390625 1700466134.5400
MEM 134.546875 1700466134.6451
MEM 137.734375 1700466134.7500
MEM 153.625000 1700466134.8530
MEM 164.484375 1700466134.9582
MEM 179.968750 1700466135.0633
MEM 190.078125 1700466135.1684
MEM 195.828125 1700466135.2735
MEM 205.703125 1700466135.3744
MEM 212.250000 1700466135.4796
MEM 218.984375 1700466135.5817
MEM 227.375000 1700466135.6868
MEM 227.625000 1700466135.7918
MEM 241.750000 1700466135.8970
MEM 257.031250 1700466136.0021
MEM 268.812500 1700466136.1040
MEM 275.406250 1700466136.2072
MEM 281.078125 1700466136.3093
MEM 287.968750 1700466136.4144
MEM 300.984375 1700466136.5195
MEM 304.453125 1700466136.6246
MEM 308.984375 1700466136.7257
MEM 310.140625 1700466136.8309
MEM 307.750000 1700466136.9361
MEM 307.750000 1700466137.0412
MEM 307.750000 1700466137.1465
MEM 307.859375 1700466137.2476
MEM 309.546875 1700466137.3523
MEM 310.437500 1700466137.4574
MEM 406.312500 1700466137.5625
MEM 436.062500 1700466137.6635
MEM 426.781250 1700466137.7686
MEM 526.703125 1700466137.8728
MEM 518.453125 1700466137.9780
MEM 510.593750 1700466138.0805
MEM 587.890625 1700466138.1854
MEM 666.890625 1700466138.2905
MEM 735.500000 1700466138.3958
MEM 843.234375 1700466138.5009
